Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
6.86,4.6,0.77,1.443,K3III,15.17379,0
9.4,0.33,1.32,1.26,K0III,11.992569,0
7.96,4.9,1.1,1.009,G8/K0III/IV,16.41098,1
9.75,8.74,1.45,0.671,G5V,19.457558,1
9.16,-1.67,1.78,1.045,G8III,15.273582,0
8.13,4.49,0.96,1.114,K0III,16.391232,0
7.48,13.01,0.58,0.534,F6V,18.051386,1
8.35,4.6,1.2,0.802,G5III,16.66379,0
8.59,28.67,0.83,0.944,K1Vp,20.87714,1
8.08,3.05,0.81,1.054,K0III,15.501499,0
7.93,7.08,1.08,0.446,F0V,17.180166,1
8.43,9.51,0.95,0.588,G1V,18.320904,1
7.14,4.22,0.92,1.239,K1III,15.2665615,0
6.71,6.57,0.54,0.883,G8III,15.797828,0
7.63,3.06,0.91,1.506,K3III,15.058607,0
8.18,6.7,1.14,0.358,F0III,17.310375,0
9.73,7.81,2.44,0.817,F5V,19.193254,1
6.25,21.09,0.8,0.448,F5V,17.870384,1
9.68,14.46,1.03,0.708,G8V,20.48084,1
5.38,8.26,0.81,1.343,K3III,14.9649,0
8.41,18.83,2.17,0.675,G5V,19.784252,1
8.76,13.78,1.28,0.802,G6IV,19.456247,1
8.72,2.76,0.79,-0.031,A0V,15.924546,1
9.7,15.69,1.84,0.91,K3V,20.678116,1
9.63,1.3,1.82,0.385,F0V,15.199717,1
8.65,4.11,1.21,1.096,K0III/IV,16.719208,1
6.73,1.09,0.95,-0.03,B3Vne,11.917132,1
8.74,3.99,1.31,0.903,K0:III+...,16.744865,0
6.09,3.36,0.62,1.341,K2III,13.721697,0
9.13,5.42,1.23,0.473,F2V,17.799995,1
3.54,30.93,1.03,0.262,F0IIIp,15.991899,0
7.73,1.48,1.12,1.8,K3III,13.581308,0
8.47,4.75,1.1,0.104,B9V,16.85347,1
9.9,0.04,1.44,0.37,B6III,7.9102993,0
10.4,4.9,1.83,0.708,K3IV,18.850979,1
8.15,5.91,0.96,0.029,A1V,17.007938,1
7.83,3.42,0.96,1.025,G8III,15.500131,0
6.91,6.63,0.55,-0.059,B9V,16.017567,1
8.9,3.77,1.15,0.468,A9IV,16.781708,1
9.19,6.71,1.53,0.591,F8V,18.323612,1
8.39,4.27,0.94,0.39,F2III,16.542141,0
8.74,1.63,1.25,1.503,K2III,14.800938,0
8.09,-0.6,3.44,1.446,K3III,11.980757,0
8.7,29.13,1.48,0.913,K2V,21.021702,1
7.2,6.05,0.79,0.997,G9III,16.108776,0
8.84,1.54,1.06,0.106,B9IV,14.777604,1
8.59,2.67,0.81,1.308,K2IIICN...,15.722557,0
7.81,6.35,0.98,0.446,F5V,16.823868,1
8.66,0.43,1.25,1.415,K2/K3III/IV,11.827342,1
9.04,10.37,1.22,0.74,G8IV,19.118893,1
7.15,14.74,0.93,0.574,F8V,17.992487,1
7.67,0.09,1.19,0.987,F8Ib/II,7.4412127,0
8.85,4.42,1.43,0.485,F3V,17.07711,1
8.32,1.67,0.72,0.034,B9.5V,14.433582,1
8.09,3.38,0.62,0.32,F0III,15.734584,0
8.16,0.28,1.12,1.56,K4IV,10.39579,1
9.58,8.38,1.61,0.52,F7V,19.19622,1
9.03,4.47,0.74,0.168,A3V,17.281536,1
8.77,2.06,1.1,-0.1,B4V,15.339336,1
8.82,4.81,2.03,0.471,F3V,17.230724,1
8.4,3.59,1.15,0.488,F5III,16.175472,0
8.3,0.31,0.88,1.632,M1/M2III,10.756808,0
3.93,2.3,0.77,0.029,B5Ib,10.738639,0
8.11,7.31,0.89,0.173,A5V,17.429586,1
2.14,90.16,0.89,0.09,A3Vvar,16.91507,1
6.98,4.97,0.6,1.378,K4III,15.461781,0
8.23,4.58,0.7,0.984,G8III,16.534328,0
6.8,3.41,0.75,1.657,M1III,14.463772,0
8.38,6.05,0.69,0.494,F5III,17.288776,0
7.11,0.41,0.83,0.738,F3Ib,10.17392,0
10.45,8.27,1.75,0.394,G1V,20.037527,1
7.75,0.06,0.78,1.871,M1II,6.6407566,0
7.62,12.09,0.88,0.564,G0V,18.032131,1
10.0,2.03,1.59,-0.13,B7/B8Ib,16.53748,0
8.41,3.33,1.17,1.206,K1III,16.02222,0
7.47,3.29,1.08,0.977,G8III,15.055979,0
7.95,1.12,1.09,0.956,K0III,13.196091,0
6.9,1.29,0.75,0.514,A3II,12.45295,0
8.36,1.61,0.86,1.23,K1III,14.394129,0
8.04,9.88,0.96,0.352,F0V,18.013784,1
6.5,20.41,0.93,0.578,G1V,18.049215,1
9.03,8.41,1.35,0.746,G5IV,18.65398,1
6.77,6.09,0.51,1.161,K1/K2III,15.693087,0
8.2,-1.54,1.01,0.406,B2Ia,14.137604,0
8.24,5.79,1.07,1.053,K1III/IV,17.053392,1
6.35,4.41,0.55,-0.096,B8V,14.572193,1
8.24,3.28,0.95,1.383,K3III,15.819369,0
7.83,1.1,0.94,-0.017,B8/B9II,13.036963,0
6.72,2.35,0.83,-0.133,B2IV-V,13.575339,1
9.44,0.99,1.19,1.44,K2III:,14.418176,0
7.02,6.05,1.64,-0.046,B8III,15.928778,0
9.96,17.06,2.0,0.862,K1IV:,21.119896,1
9.03,9.17,1.39,0.498,F6V,18.841846,1
8.74,1.69,0.89,1.627,M3III:,14.879433,0
7.59,4.48,0.6,0.969,K0III,15.84639,0
8.92,2.57,1.25,1.449,K2III,15.969666,0
8.69,3.03,1.11,1.531,K2/K3III,16.097214,0
8.93,4.65,0.95,1.075,K0III,17.267265,0
6.79,2.89,0.57,1.308,K1III,14.09449,0
7.72,3.48,0.92,1.066,G8III,15.4278965,0
7.89,3.05,0.67,1.648,M2III,15.311499,0
6.63,36.93,0.5,0.579,G1V,19.466896,1
10.5,28.27,3.17,1.358,M0V,22.75663,1
8.07,4.89,0.92,0.473,F5IV,16.516544,1
8.18,2.03,1.14,1.137,K0III,14.717481,0
5.16,20.42,0.73,0.442,F5III,16.710278,0
5.7,5.63,0.71,1.406,K4III,14.452542,0
5.91,3.66,0.85,-0.021,B6III,13.727406,0
6.29,5.14,0.76,1.325,K2III,14.844815,0
8.73,35.66,1.32,0.982,K3V,21.490906,1
8.43,2.7,1.14,1.011,G8III,15.58682,0
4.35,4.24,0.49,1.258,K0II,12.48683,0
9.0,7.11,2.04,0.511,F6V,18.259348,1
8.58,1.09,1.25,1.16,K1III,13.767132,0
5.43,17.05,0.48,0.901,G8III,16.588621,0
8.81,13.41,0.78,0.724,G8V,19.447144,1
9.16,-0.48,1.25,1.313,K2III,12.566206,0
8.44,1.94,1.11,-0.069,B8IV/V,14.879008,1
7.35,0.32,1.05,-0.136,B2IV-V,9.87575,1
7.43,3.92,0.9,1.592,M3III:,15.39643,0
7.82,4.55,0.99,0.239,A2IV,16.110058,1
6.32,2.25,0.61,-0.183,B2III,13.080913,0
8.76,8.92,1.03,0.391,F0V,18.511826,1
7.26,0.85,0.53,0.023,B7III,11.907095,0
7.49,0.65,0.67,1.645,M3III,11.554566,0
6.64,1.22,1.09,-0.119,B6III,12.071799,0
8.41,2.77,1.05,0.084,A1V,15.622399,1
8.01,8.75,0.96,1.042,K1III,17.72004,0
8.19,6.99,1.4,0.441,F3V,17.412384,1
7.07,0.32,0.91,0.179,O9II,9.59575,0
8.77,8.62,1.12,0.811,G6III,18.447536,0
9.03,3.51,0.95,1.713,K3III,16.756535,0
9.16,6.21,1.53,0.54,G0V,18.125458,1
8.65,3.18,1.07,1.321,K2III,16.162136,0
9.56,32.33,1.58,1.286,K4V,22.108028,1
7.07,4.03,1.19,0.336,F2III/IV,15.096525,1
8.42,3.37,0.83,1.103,G8III,16.05815,0
7.14,3.85,0.78,0.619,A2V,15.067304,1
7.1,6.64,0.85,1.02,K0III,16.21084,0
8.23,1.86,0.69,1.359,K3III,14.577564,0
7.81,2.9,1.06,0.951,K0II,15.12199,0
6.82,3.49,0.88,0.07,B5V SB,14.534128,1
10.0,11.52,2.2,0.74,G8IV/V,20.307262,1
6.83,22.98,0.85,0.54,F8V,18.63675,1
3.41,28.06,0.71,0.918,G8III,15.650438,0
8.76,4.46,1.32,1.45,K2III,17.006676,0
8.66,1.99,1.24,1.296,K2III,15.154265,0
9.56,5.64,2.42,0.679,G3V,18.316395,1
7.17,3.69,0.51,1.322,K2III,15.005132,0
7.63,3.09,1.15,1.008,K0III,15.079793,0
8.57,1.44,0.72,0.897,G8III,14.361813,0
5.98,10.63,0.98,1.096,K1III,16.112665,0
7.83,3.42,1.87,1.0,K0III,15.500131,0
6.43,3.44,0.83,1.671,M0III,14.112791,0
7.2,6.01,0.89,1.071,K0/K1III,16.094372,0
10.21,1.22,3.65,0.586,F5/F6V,15.6418,1
8.27,7.54,0.79,0.879,K0IV,17.656857,1
10.0,4.65,1.31,0.56,F8V,18.337265,1
12.0,27.61,3.52,1.5,M2V:,24.205332,1
8.89,1.16,1.16,-0.01,B9.5V,14.21229,1
8.06,4.09,0.71,-0.051,B9V,16.118618,1
9.83,4.28,1.17,0.506,F6V,17.987219,1
8.51,9.5,1.22,0.493,F5V,18.398619,1
7.76,2.61,0.86,0.03,B8V,14.843203,1
8.93,1.89,1.49,1.27,K1III,15.312309,0
8.41,2.4,0.73,1.574,M3III,15.311056,0
6.56,16.46,0.48,0.421,F2V,17.642149,1
7.86,1.57,0.95,1.419,K4III,13.8394985,0
4.62,34.54,0.87,0.332,F2III-IVvar,17.311611,1
6.16,1.1,0.61,-0.167,B3III,11.366963,0
8.84,6.39,1.08,0.249,A2IV,17.867504,1
8.11,8.17,0.73,0.382,F0/F2IV/V,17.67111,1
9.02,4.55,0.93,0.531,F5/F6V,17.310059,1
8.52,0.77,1.09,1.585,M1III,12.952454,0
7.06,15.56,0.82,0.384,F2V,18.020048,1
8.86,20.38,1.49,0.73,G8V,20.406021,1
5.52,4.94,0.87,1.228,K1III,13.988636,0
9.73,11.48,0.85,0.699,G5V,20.029709,1
7.21,8.52,1.18,1.03,K1IV...,16.862198,1
8.22,10.15,0.68,0.531,F6V,18.25233,1
8.23,1.83,0.67,-0.082,B5V,14.542255,1
8.79,2.24,0.93,1.495,K2/K3III,15.54124,0
8.26,1.5,0.9,0.055,B5Vn,14.140456,1
7.8,2.07,1.06,0.076,B7II,14.379852,0
8.36,15.28,0.87,0.571,G1/G2V,19.280617,1
8.86,5.55,2.08,1.0,G8III/IV,17.581465,1
7.89,11.48,1.38,0.601,G2/G3V,18.189709,1
8.46,2.71,1.12,0.423,F0III/IV,15.624846,1
7.03,6.57,0.96,1.09,K0IIICN...,16.117828,0
8.49,12.14,1.19,0.719,G5IV,18.911095,1
9.1,9.15,0.86,0.68,G2V,18.907104,1
7.84,2.1,0.86,0.085,A2V,14.451097,1
8.12,1.03,1.14,-0.054,B8III/IV,13.184186,1
7.25,3.25,0.87,0.918,G5IV,14.809417,1
6.61,2.23,0.65,-0.175,B3III,13.351524,0
9.64,24.63,1.53,0.957,K1/K2V,21.59732,1
7.92,2.26,0.67,1.01,G8III,14.690542,0
5.92,22.83,0.78,0.44,F3V+...,17.71253,1
7.19,19.06,0.94,0.482,F5V,18.590614,1
8.8,3.69,1.08,-0.029,B9.5V,16.635132,1
7.68,10.77,1.0,0.508,F6V,17.841078,1
8.94,1.97,1.27,1.366,K0III:,15.412331,0
9.6,3.57,1.52,0.085,B8III,17.363342,0
8.41,18.28,0.77,0.773,G8V,19.719881,1
6.25,7.54,0.85,0.927,G9III,15.636856,0
7.88,2.87,1.02,1.136,K1III,15.16941,0
7.28,6.42,1.26,1.249,K0/K1III,16.317675,0
9.26,2.19,1.27,1.7,K3/K4III:,15.962221,0
8.83,5.33,0.74,0.383,F0IV,17.463636,1
8.17,2.81,0.96,1.721,M1III,15.413532,0
6.27,9.41,0.89,1.089,K0III,16.137949,0
8.23,0.88,1.09,1.602,K4III,12.952414,0
6.98,2.68,1.09,1.631,M1III,14.120674,0
9.62,2.99,1.76,0.752,F2V,16.998356,1
7.45,14.99,0.94,0.591,G0V,18.32901,1
7.07,18.84,0.62,0.508,F6V,18.445404,1
8.95,5.24,1.23,0.43,F2V,17.546658,1
8.28,3.47,0.94,-0.031,A0V,15.9816475,1
8.25,4.41,1.06,1.167,K0IIICN...,16.472193,0
9.56,21.78,1.01,1.05,K5V,21.25029,1
8.72,15.37,1.22,0.639,K0/K1III+..,19.65337,0
7.88,19.05,1.04,0.584,G0V,19.279474,1
7.67,3.06,1.49,0.962,G8III,15.098607,0
10.14,9.09,1.75,0.596,G0V,19.93282,1
9.32,8.58,1.53,0.62,G3V,18.987436,1
9.91,9.92,1.4,0.731,G6V,19.89256,1
6.21,8.3,0.83,0.242,A8/A9III/IV,15.80539,1
8.34,3.73,0.93,1.404,K2III,16.198544,0
9.32,6.02,1.44,0.409,F2V,18.217983,1
6.28,36.92,0.84,0.659,G4V+...,19.116308,1
7.84,5.08,0.86,1.011,K0III,16.36932,0
7.69,5.28,0.78,1.476,K3III,16.30317,0
8.77,1.36,1.13,0.02,B8/B9III,14.4376955,0
6.09,31.03,0.83,0.479,F6V,18.548908,1
7.8,19.37,1.37,0.637,G2V,19.23565,1
8.26,2.04,0.99,-0.015,B8IV,14.808151,1
8.94,14.46,1.25,0.816,K0V,19.74084,1
7.83,5.54,0.99,1.071,K0III,16.547548,0
9.1,8.06,1.29,0.452,F5V,18.631676,1
8.7,3.22,1.0,1.124,K1III,16.239279,0
9.24,6.65,1.49,0.579,F7V,18.354107,1
7.86,10.19,0.89,0.498,F3/F5V,17.900871,1
7.94,13.76,0.85,0.503,F8V,18.633093,1
8.61,2.84,1.23,0.158,B9IV,15.876592,1
7.35,7.19,0.78,0.501,F5III/IV,16.633644,1
6.79,4.74,0.57,-0.044,B8/B9IV,15.168892,1
7.04,3.22,0.65,1.014,G8III,14.579279,0
8.9,42.67,1.26,1.181,K4V,22.050613,1
8.91,9.87,2.56,0.418,F3V,18.881586,1
9.75,6.83,1.48,0.81,G8III,18.922104,0
8.86,3.5,1.19,0.513,F3/F5V,16.580341,1
8.38,1.32,1.14,0.014,B9III,13.98287,0
7.59,6.13,0.9,0.043,A0V,16.527302,1
8.99,1.46,1.16,1.08,K1IV,14.811764,1
9.16,2.48,1.5,1.041,K1III,16.132257,0
7.47,2.28,1.04,0.074,B8III,14.259674,0
7.45,4.93,0.88,0.429,A9III,15.914234,0
7.27,3.71,0.93,1.252,K1III,15.11687,0
9.67,2.16,1.14,1.244,K0III/IV,16.34227,1
5.9,12.17,0.54,0.012,A0V,16.326452,1
10.6,2.37,1.88,0.2,B9V,17.473742,1
7.1,25.2,0.83,0.497,F6/F7V,19.107002,1
6.9,10.9,0.69,1.28,K3III,17.087132,0
6.94,2.27,0.63,1.634,K5III,13.720129,0
8.66,6.72,1.5,0.531,F5V,17.796846,1
9.92,13.98,4.86,0.827,G8/K0V,20.647537,1
8.49,-0.51,0.81,0.934,F8II/III,12.027851,0
9.27,8.77,1.48,0.582,G3V,18.984999,1
7.89,11.35,0.86,0.523,F7V,18.16498,1
9.07,9.01,0.74,0.486,F5V,18.843624,1
9.15,3.88,1.27,0.911,K0III,17.094158,0
9.77,6.85,2.58,0.301,A2V,18.948452,1
8.43,4.76,1.25,1.144,K0III,16.818035,0
8.44,1.11,0.81,0.4,B0.5Iab,13.666615,0
7.71,4.23,0.88,0.121,A2III,15.841702,0
7.3,6.88,0.6,1.051,K0III,16.487942,0
0.03,128.93,0.55,-0.001,A0Vvar,15.581769,1
9.21,5.74,1.89,0.542,F5/F6IV,18.004559,1
5.6,4.98,0.67,1.204,K1III,14.086147,0
7.86,3.83,1.03,0.098,A0IV,15.775993,1
8.67,1.78,0.78,1.664,M2III,14.9221,0
7.85,4.86,0.93,0.093,A1V,16.28318,1
9.58,3.86,1.38,0.409,F0V,17.512936,1
9.39,1.58,1.65,0.879,F5II(R),15.3832855,0
8.09,9.1,1.01,0.589,F7/F8V,17.885208,1
6.41,3.29,0.85,1.306,K2III,13.995979,0
10.93,3.56,1.69,0.991,M5-M8IIIe,18.68725,0
9.24,8.44,1.67,0.687,F8V,18.871712,1
5.47,16.31,0.61,1.03,K0III-IV,16.532269,1
8.18,2.02,0.72,1.59,K5III,14.706757,0
8.47,2.2,1.17,1.039,K1III,15.182114,0
8.4,0.86,0.96,0.051,B7IV,13.072492,1
8.31,6.04,1.1,0.595,G0V,17.215185,1
7.82,5.99,1.18,1.293,K0III,16.707134,0
7.48,4.23,0.94,1.04,K0IIIw...,15.611702,0
8.4,3.13,1.07,0.244,A9V,15.877722,1
8.47,2.2,0.79,1.19,K1III,15.182114,0
7.56,15.93,0.76,0.47,F5IV/V,18.571077,1
8.05,3.27,1.02,0.181,A3III/IV,15.62274,1
9.7,2.4,1.61,0.76,G2IV:,16.601055,1
9.2,4.06,1.12,0.228,A5III,17.24263,0
8.29,0.96,2.26,0.112,B9III,13.201356,0
8.6,1.19,0.76,1.5,K3/K4III:,13.9777355,0
8.22,1.48,1.21,0.122,A0V,14.071309,1
8.88,8.75,0.97,0.585,F8V,18.59004,1
7.94,3.1,0.85,0.051,B9/B9.5V,15.396809,1
5.92,7.35,0.73,1.327,K2III,15.251437,0
5.18,2.52,0.55,-0.274,B1IV/V,12.187002,1
6.02,1.34,0.71,-0.173,B0III,11.655523,0
7.3,2.68,0.9,1.216,K1/K2III,14.440674,0
7.21,3.9,0.73,0.934,G8III,15.165323,0
4.81,5.97,0.48,1.274,K2III,13.689871,0
9.24,13.83,0.98,0.592,G0V,19.94411,1
6.25,8.42,0.83,1.021,F4IV...,15.87656,1
6.17,13.23,0.78,0.089,A2V,16.7778,1
8.68,2.56,0.92,1.537,M2III,15.7212,0
8.59,2.3,1.25,0.391,F0III,15.39864,0
6.22,0.77,0.8,0.102,B1/B2Ib,10.652453,0
8.17,3.4,0.97,1.403,K3/K4III,15.8273945,0
7.51,4.52,1.24,0.99,K0III,15.785692,0
6.24,6.91,0.68,0.997,G8III,15.437389,0
8.65,2.24,1.22,0.134,A0V,15.401239,1
7.89,5.22,0.97,0.078,A0V,16.478352,1
5.03,7.13,0.89,1.623,M2III,14.295448,0
3.78,25.9,0.91,1.024,G9III+...,15.8464985,0
8.11,19.02,0.87,0.566,F6V,19.506054,1
8.94,4.1,1.42,0.212,B6II/III,17.003918,0
8.07,8.04,0.9,0.41,F3V,17.59628,1
7.6,10.43,0.62,0.461,F5V,17.691422,1
8.84,4.64,1.37,0.354,F0V,17.17259,1
9.14,2.4,1.89,0.2,A0V,16.041058,1
5.75,7.31,0.68,1.309,K2III,15.069587,0
8.64,1.04,1.41,1.352,K1III,13.725167,0
6.8,6.87,1.01,1.032,K0III,15.984784,0
8.81,-0.12,1.1,1.216,K1/K2II,9.205907,0
7.75,4.65,1.01,1.2,K3II-III,16.087265,0
6.61,12.75,0.82,0.917,G5IV,17.137552,1
8.38,2.46,1.06,1.1,K1III,15.334676,0
8.65,13.88,0.74,0.552,F8/G0V,19.361946,1
7.99,2.93,0.96,0.024,B9.5V,15.324338,1
7.37,21.8,0.9,0.573,G0V,19.062283,1
8.54,10.78,1.17,0.516,F5V,18.703094,1
9.08,1.56,0.89,1.031,G8III/IV,15.045623,1
8.34,2.31,0.7,1.18,K0III,15.15806,0
4.89,9.64,0.56,-0.123,B4V,14.810385,1
5.08,5.15,0.67,1.596,K5III,13.639036,0
8.83,7.54,1.14,0.54,F6V,18.216856,1
7.86,7.31,0.61,0.097,A1IV/V,17.179586,1
8.82,6.5,1.16,0.855,G6III,17.884567,0
8.79,4.17,0.82,1.233,K1/K2III,16.89068,0
6.32,1.73,0.59,1.632,K4II:,12.510231,0
9.98,7.13,1.69,0.682,G3V,19.245447,1
8.93,11.68,1.38,1.582,G5V,19.267216,1
8.55,6.73,1.04,0.555,F7V,17.690075,1
9.45,2.12,2.28,0.332,F2/F3V,16.08168,1
7.41,4.83,0.67,-0.043,B9.5V,15.829735,1
5.19,3.12,0.48,1.758,M0II,12.660772,0
8.59,2.95,1.23,0.796,A0V+...,15.93911,1
7.78,1.35,0.98,-0.001,B9.5/A0V,13.431669,1
8.93,1.37,1.39,0.101,B8II,14.613604,0
7.06,1.15,0.74,0.63,F5Ib-II,12.363489,0
9.46,2.19,1.12,0.714,B9V+...,16.16222,1
9.49,3.43,1.42,0.448,F3V,17.16647,1
6.98,6.67,0.89,0.45,F3/F5III,16.10063,0
8.12,3.77,0.66,0.989,G6III,16.001707,0
8.47,5.72,1.42,1.412,K1IIICN...,17.25698,0
7.22,14.23,0.87,0.294,A7V,17.986025,1
5.39,16.72,0.93,0.352,F2IV-V,16.50618,1
7.8,8.73,1.16,0.266,A5III,17.505072,0
8.51,17.78,1.25,0.704,G5IV/V,19.759659,1
7.81,8.13,0.84,0.458,F5IV,17.360453,1
9.89,5.78,1.07,0.576,F5V,18.699638,1
8.01,1.92,1.05,1.506,K4III,14.426506,0
6.88,1.35,0.93,1.75,K4III,12.53167,0
6.93,9.54,0.84,0.9,G5III,16.827742,0
6.15,0.96,1.04,1.098,G1Ib,11.061356,0
5.07,20.0,0.97,0.12,A4V,16.575151,1
8.12,0.44,1.05,-0.1,B3III,11.337263,0
8.3,3.22,0.96,0.841,G6III,15.839279,0
7.62,13.55,0.64,0.468,F5V,18.279697,1
9.27,4.84,1.44,0.565,F2V,17.694227,1
4.61,25.38,1.05,1.029,K1III,16.632458,0
8.6,2.39,1.13,1.051,K0III,15.49199,0
7.25,8.39,1.17,0.495,F5III,16.868809,0
7.32,11.74,0.97,0.461,F5III,17.66834,0
6.49,7.9,0.87,1.089,K1III,15.978135,0
6.14,3.43,0.79,0.059,A4III,13.81647,0
8.47,2.62,0.82,1.356,K2III,15.561507,0
6.49,10.88,0.9,0.377,F2III,16.673145,0
7.94,4.91,1.13,1.172,K1III,16.395409,0
5.8,56.6,0.76,0.6,G1V,19.564083,1
8.25,20.84,0.88,0.646,G3V,19.844488,1
7.36,5.32,1.16,0.328,A9V,15.989559,1
8.24,8.13,1.04,0.415,F3V,17.790453,1
8.15,9.99,0.73,0.417,F3V,18.147827,1
8.44,3.37,0.91,0.889,G8/K0III,16.078148,0
9.19,12.17,4.81,0.499,F0/F2IV:,19.616451,1
8.31,9.49,0.96,0.456,F5IV,18.196331,1
6.36,6.37,0.78,0.904,G8III,15.380697,0
9.48,1.45,1.32,1.008,G6/G8III,15.2868395,0
8.53,7.46,1.25,0.602,G1V,17.893694,1
8.47,1.43,0.74,1.153,K2II/III,14.24668,0
7.42,10.16,0.93,0.362,F3IV-V,17.454468,1
8.21,3.5,1.25,0.127,A0V,15.930341,1
6.84,3.75,0.68,-0.013,B6V,14.710157,1
10.74,24.42,2.15,1.165,K5V,22.678728,1
8.64,-0.69,2.63,1.291,F5-G1Ib + A:,12.834246,0
7.58,3.07,0.66,1.28,K2III,15.015692,0
9.14,3.47,1.41,1.089,K0IV,16.841648,1
8.12,4.16,1.0,1.102,K0III,16.215466,0
9.82,7.16,1.64,0.931,G8IV:,19.094564,1
8.78,1.7,1.31,1.654,M2/M3II/III,14.932244,0
6.37,3.81,0.62,1.772,M2III,14.274625,0
7.86,4.64,0.84,0.069,A1/A2V,16.19259,1
5.3,13.31,0.8,1.109,K1III,15.92089,0
8.5,1.82,0.71,1.19,K2III,14.800357,0
8.36,0.54,0.73,1.68,K5III,12.021969,0
8.37,3.97,1.47,0.31,F0IV,16.363953,1
7.51,5.86,0.95,0.135,B9V,16.349487,1
7.09,6.91,0.61,0.179,A7III,16.28739,0
5.88,16.1,0.53,0.139,A2V,16.914127,1
7.79,11.62,0.95,0.377,F0/F2IV,18.116032,1
6.32,3.6,1.05,1.592,M1III,14.101513,0
9.06,2.92,1.04,1.039,K1III,16.386913,0
8.13,3.87,0.74,1.527,K4III,16.068554,0
9.11,1.16,1.61,1.004,K0III,14.432289,0
7.57,3.78,0.61,0.239,A7II/III,15.4574585,0
8.31,2.5,1.06,1.035,G8/K0III,15.299701,0
7.53,4.34,0.97,0.117,B9V,15.717449,1
8.31,4.07,0.64,0.986,K0III,16.357971,0
7.47,7.84,0.91,0.375,F6II,16.94158,0
6.77,12.01,0.49,0.299,A8III:m,17.167715,0
6.91,3.56,0.78,1.249,K2III,14.66725,0
7.1,5.54,0.91,0.065,A0/A1IV,15.817549,1
9.19,6.8,1.13,0.524,F6V,18.352543,1
7.4,1.24,0.59,-0.056,B4III,12.867109,0
8.3,2.33,1.02,0.103,B8Ib/II,15.13678,0
8.52,0.85,1.06,0.18,B8II,13.167095,0
5.34,24.7,0.7,0.251,A8V,17.303484,1
7.72,5.16,0.92,1.129,K0III,16.283249,0
7.8,5.85,0.79,0.34,F0/F2V,16.63578,1
8.32,2.34,1.54,1.2,K4III,15.166079,0
6.08,11.8,0.78,0.299,F2III,16.439411,0
6.75,3.36,1.01,1.676,M2III,14.381697,0
7.7,1.12,0.8,1.646,K3/K4II/III,12.946091,0
8.09,7.88,2.63,0.151,A2V,17.572632,1
8.36,0.24,1.12,1.05,G8III,10.261056,0
8.75,0.87,0.81,-0.08,B2III,13.447596,0
7.01,2.61,0.98,1.924,K3/K4III,14.093203,0
4.86,5.95,0.72,1.634,M2/M3III,13.732584,0
8.18,3.4,1.08,0.294,A3IV,15.837395,1
9.21,4.86,1.38,0.784,G6V,17.64318,1
8.66,5.51,0.85,1.091,K2III,17.365757,0
6.97,7.35,0.56,1.219,K2IIICN...,16.301437,0
8.0,3.37,0.61,0.997,K0III,15.638149,0
6.3,18.05,1.23,0.403,F3V,17.582386,1
8.15,6.55,1.17,0.533,G0IV-V,17.231205,1
7.75,9.1,4.71,0.2,G1V,17.545208,1
10.88,1.87,2.05,0.119,A3V,17.239208,1
5.26,6.8,1.38,0.234,A5V,14.4225445,1
8.4,15.04,0.92,0.516,F7/F8V,19.28624,1
6.27,10.96,1.03,0.274,F0Vn,16.469053,1
8.41,3.92,1.0,0.244,A4III,16.37643,0
8.52,1.45,1.42,2.111,C5II,14.32684,0
8.42,2.74,0.91,0.006,B9III,15.608753,0
8.9,13.16,1.51,0.676,G8V,19.49628,1
7.72,-0.87,0.93,0.0,B2IIIn,12.417596,0
7.02,6.51,0.62,0.393,F3/F5II,16.087906,0
6.4,6.02,1.05,0.095,A2IV,15.297983,1
5.61,4.63,0.84,1.63,M2IIIs,13.937904,0
7.26,4.05,0.82,1.189,K1/K2III,15.297276,0
8.15,1.67,1.04,1.317,K2III,14.263582,0
9.09,2.3,0.93,0.459,F0III,15.89864,0
4.69,7.17,0.81,0.979,G8III,13.967596,0
7.82,8.15,0.88,0.255,A7/A8III,17.375788,0
7.93,9.6,1.32,0.481,F5V,17.841356,1
3.72,310.75,0.85,0.881,K2V,21.182055,1
9.11,3.46,1.39,0.641,F6III,16.80538,0
9.32,15.14,1.3,0.662,G6V,20.22063,1
7.62,2.83,0.76,0.292,A9III,14.878932,0
8.5,1.11,0.84,1.36,M4IIIvar,13.726615,0
7.7,4.18,1.0,0.971,G8III,15.805881,0
9.51,13.86,2.48,0.5,G5/G6V,20.218817,1
6.64,7.69,0.79,0.377,F5III,16.069632,0
10.67,2.59,2.66,0.615,G5V,17.7365,1
6.99,3.76,0.8,0.876,G3III,14.865939,0
7.28,10.73,0.99,0.493,F7V,17.432999,1
7.57,3.52,0.94,1.538,K5III,15.302713,0
6.24,8.71,0.72,1.051,K0III,15.94009,0
8.53,2.18,1.04,1.212,K1IV,15.222282,1
7.76,2.63,0.62,1.14,K1III,14.859779,0
8.99,3.51,1.23,1.132,K2III,16.716536,0
8.89,1.41,0.78,1.545,K3III,14.636096,0
6.44,7.25,0.71,1.094,K1IIICN...,15.74169,0
9.32,3.45,1.49,1.287,K3III:,17.009094,0
8.97,2.09,1.2,1.379,K1III,15.570732,0
7.11,21.07,2.35,0.497,F8V,18.728323,1
8.94,6.23,1.86,1.1,G8V,17.912441,1
